Track,Driver,Stint,Lap,LapTime_s,Mean_TotalG,Std_TotalG,Max_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct,Session
charlotte_roval_2025,Driver B,stint_1,1,98.26666666663766,0.752324248942982,0.448737554816864,1.8466685104880505,131.99934292285877,73.87308956568154,5.650419700535415,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,14,99.31666666657634,0.7663288209433853,0.43913319608896306,1.81969507453458,130.8528667255376,73.7796375787881,5.198927158005411,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,15,98.3333333332439,0.7671448634739357,0.4360509351636369,1.7607125350381803,132.38306153127246,77.0274368362475,6.1394104800842655,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,16,98.2666666665773,0.7670196512749791,0.44749475906189795,1.8006538831580903,132.22747722630263,73.57860399089607,5.034058719468886,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,17,97.64999999991119,0.7679134325280831,0.4301226075850779,1.7768652895719517,132.5980113941492,74.78900344167445,5.27867273634948,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,18,97.849999999911,0.7650326613887949,0.4424951596482101,1.8123186856041889,132.76129538057936,75.90210206786993,5.589694336052903,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,19,96.73333333391224,0.7716752535576011,0.44088105965689645,1.792200800771802,134.1267553604481,75.38231030180745,5.122650031543447,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,20,97.10000000123637,0.7747325140850573,0.43783016247997475,1.7480322382729763,133.8159620012369,74.97471599711444,5.161926118238322,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,21,97.18333333457076,0.7618256494409459,0.4391382220723325,1.760770769474886,133.5016983450195,74.8925646163465,5.062348224699819,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,22,97.41666666790661,0.7677790931826217,0.44350350203908095,1.8338716472581678,133.41631939601214,73.13109138949682,4.622714625824602,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,23,97.63333333457604,0.7645100297012888,0.43674003735351236,1.8152890199785998,133.0375357690861,73.1168182416946,4.71285054730234,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,24,97.63333333457649,0.7627178005461849,0.4289433966771565,1.785568198207733,133.0293135325114,73.15637181490916,4.9222979710560075,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,25,97.36666666790643,0.7718053667871994,0.4412111062107641,1.8203351138749322,133.28641610694794,74.72342021106873,4.852029019108799,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,26,98.00000000124783,0.7697471819339325,0.4403299461160225,1.898489105212279,132.58001856415515,73.64856563462585,4.937359994217022,Driver B | charlotte_roval_2025 | stint_1
charlotte_roval_2025,Driver B,stint_1,27,97.5500000012421,0.7731214815250269,0.4285029623350836,1.8188142950627946,133.92852133772746,74.93735333617623,4.95025116920762,Driver B | charlotte_roval_2025 | stint_1
