Track,Driver,Stint,Lap,Sector,Sector_Name,Session,Mean_TotalG,Std_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct
charlotte_roval_2025,Driver B,stint_1,4,1,T1 (Heartlands),Driver B | charlotte_roval_2025 | stint_1,0.4311568186458106,0.31485995853602916,135.23197235694298,74.93615106178018,5.376980545608183
charlotte_roval_2025,Driver B,stint_1,4,2,T2,Driver B | charlotte_roval_2025 | stint_1,1.078825403538086,0.3617136285373087,127.23644394667254,78.97834702668226,0.28166190990621387
charlotte_roval_2025,Driver B,stint_1,4,3,T3 (Infield),Driver B | charlotte_roval_2025 | stint_1,0.9911352360519295,0.4847894822994803,148.29467171239492,82.15007719526935,4.232866209327378
charlotte_roval_2025,Driver B,stint_1,4,4,T4,Driver B | charlotte_roval_2025 | stint_1,1.177775978102036,0.4069300892993381,118.481963817154,28.60222891831426,8.389146655373171
charlotte_roval_2025,Driver B,stint_1,4,5,T5/T6 Transition,Driver B | charlotte_roval_2025 | stint_1,0.6100434960130016,0.49648446823087616,126.26840071678161,96.34472565918134,0.0
charlotte_roval_2025,Driver B,stint_1,4,6,Hairpin Setup,Driver B | charlotte_roval_2025 | stint_1,1.0088461252215233,0.4226954893667448,142.05209823358254,57.48288371601907,3.5974710819460722
charlotte_roval_2025,Driver B,stint_1,4,7,New Hairpin,Driver B | charlotte_roval_2025 | stint_1,1.1069892748455261,0.28474896284318707,87.20528915506104,43.349371097842436,14.13896645825471
charlotte_roval_2025,Driver B,stint_1,4,8,Oval Turn 1,Driver B | charlotte_roval_2025 | stint_1,0.3436352250734532,0.09334588805112065,114.26044687258083,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,4,9,Oval Turn 2,Driver B | charlotte_roval_2025 | stint_1,0.5667448721379169,0.10226893683283293,158.42742078157397,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,4,10,Backstretch,Driver B | charlotte_roval_2025 | stint_1,0.18531884530993284,0.15144463114800122,179.32300508856352,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,4,11,Bus Stop Entry,Driver B | charlotte_roval_2025 | stint_1,0.7578383969986234,0.5311495613015809,170.48987632419755,34.282997055519104,41.822749651307106
charlotte_roval_2025,Driver B,stint_1,4,12,Bus Stop Apex,Driver B | charlotte_roval_2025 | stint_1,1.0723955996143208,0.420567516386704,97.12845136588643,47.72744510661472,13.31039458636609
charlotte_roval_2025,Driver B,stint_1,4,13,Bus Stop Exit,Driver B | charlotte_roval_2025 | stint_1,0.42104081238750357,0.14211280167880472,121.56655297603002,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,4,14,Oval Turn 3,Driver B | charlotte_roval_2025 | stint_1,0.545312403062335,0.20147402170405493,154.11680547829232,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,4,15,Oval Turn 4,Driver B | charlotte_roval_2025 | stint_1,0.6716452495386368,0.14799016117809272,175.7812459823933,95.65848117258321,0.37838279720435436
charlotte_roval_2025,Driver B,stint_1,4,16,Final Chicane Entry,Driver B | charlotte_roval_2025 | stint_1,1.0907370818674937,0.155203187127052,130.19514725502955,1.6590372062800975,46.91230334927527
charlotte_roval_2025,Driver B,stint_1,4,17,Final Chicane Exit,Driver B | charlotte_roval_2025 | stint_1,1.0897151508371714,0.3575345778455338,96.67348864700993,77.25812398411077,0.0
charlotte_roval_2025,Driver B,stint_1,4,18,Frontstretch,Driver B | charlotte_roval_2025 | stint_1,0.2861187342443188,0.034818769385008955,115.76319623135103,100.0,0.0
charlotte_roval_2025,Driver B,stint_1,6,1,T1 (Heartlands),Driver B | charlotte_roval_2025 | stint_1,0.44131233696147487,0.32864466267607734,133.9330119898111,79.04086358537154,7.33302812509862
