Track,Comparison,Stint,Sector,N_Act,DeltaT_s
CLT,D vs. B,stint_4,2,2,0.05787307733247893
CLT,D vs. B,stint_4,3,0,0.2695271522481626
CLT,D vs. B,stint_4,4,0,0.09395834159195715
CLT,D vs. B,stint_4,5,1,0.1977578009570884
CLT,D vs. B,stint_4,6,2,0.5523766775868637
CLT,D vs. B,stint_4,7,1,0.20706591457708612
CLT,D vs. B,stint_4,8,2,0.14485467417092934
CLT,D vs. B,stint_4,9,3,0.08808156999138816
CLT,D vs. B,stint_4,10,4,0.41521434993630635
CLT,D vs. B,stint_4,11,1,0.13338448964498184
CLT,D vs. B,stint_4,12,1,0.06302946251359742
CLT,D vs. B,stint_4,13,1,0.15313409429433023
CLT,D vs. B,stint_4,14,3,0.30195809241065774
CLT,D vs. B,stint_4,15,3,0.349837971733038
CLT,D vs. B,stint_4,16,2,0.3639640417840724
CLT,D vs. B,stint_4,17,1,0.10305358655222108
CLT,D vs. B,stint_5,0,7,0.996637843440797
CLT,D vs. B,stint_5,1,4,0.1531316000287779
CLT,D vs. B,stint_5,2,1,0.07665414133846937
CLT,D vs. B,stint_5,3,2,0.16178188756573242
CLT,D vs. B,stint_5,4,0,0.1693419485787544
CLT,D vs. B,stint_5,5,1,0.200969795620356
CLT,D vs. B,stint_5,6,1,0.9126834935747183
CLT,D vs. B,stint_5,7,0,0.16571253271938957
CLT,D vs. B,stint_5,8,1,0.0772051442111703
CLT,D vs. B,stint_5,9,3,0.04795132550524528
CLT,D vs. B,stint_5,10,4,0.3342780619600063
CLT,D vs. B,stint_5,11,1,-0.07763810849392883
CLT,D vs. B,stint_5,12,2,0.10560522643147863
CLT,D vs. B,stint_5,13,1,0.07949158468528594
CLT,D vs. B,stint_5,14,2,0.1953511226899849
CLT,D vs. B,stint_5,15,2,0.06560519404803244
CLT,D vs. B,stint_5,16,3,0.7608492457244012
CLT,D vs. B,stint_5,17,2,0.25978401996574974
CLT,E vs. B,stint_1,0,4,0.1893715228208679
CLT,E vs. B,stint_1,1,4,0.5131201974381776
CLT,E vs. B,stint_1,2,5,0.3298009403675959
CLT,E vs. B,stint_1,3,1,0.26990509536168794
CLT,E vs. B,stint_1,4,1,0.1575872556282576
CLT,E vs. B,stint_1,5,6,0.8916507111935488
CLT,E vs. B,stint_1,6,1,0.629437608205599
CLT,E vs. B,stint_1,7,2,0.4157961383201254
CLT,E vs. B,stint_1,8,1,0.08060832277138275
CLT,E vs. B,stint_1,9,0,0.032061961845286646
CLT,E vs. B,stint_1,10,3,0.4855571036046342
CLT,E vs. B,stint_1,11,4,0.9374670859280059
CLT,E vs. B,stint_1,12,2,0.24885848245055797
CLT,E vs. B,stint_1,13,2,0.2010169555710064
CLT,E vs. B,stint_1,14,4,0.3193067861167691
CLT,E vs. B,stint_1,15,6,0.4773808883531814
CLT,E vs. B,stint_1,16,2,0.646507413939716
CLT,E vs. B,stint_1,17,2,0.19819452741670318
CLT,E vs. B,stint_2,0,6,0.08477958591417067
CLT,E vs. B,stint_2,1,5,0.632237874825659
CLT,E vs. B,stint_2,2,5,0.44563934722912535
CLT,E vs. B,stint_2,3,1,0.06434737850962513
CLT,E vs. B,stint_2,4,2,0.32788590899436443
CLT,E vs. B,stint_2,5,7,0.9307074494207086
CLT,E vs. B,stint_2,6,7,1.2489424994239045
CLT,E vs. B,stint_2,7,2,0.5182692456416973
CLT,E vs. B,stint_2,8,2,0.10918850874062969
CLT,E vs. B,stint_2,9,2,0.014924185245270394
CLT,E vs. B,stint_2,10,4,0.45863043399766923
CLT,E vs. B,stint_2,11,5,0.51880760267575
CLT,E vs. B,stint_2,12,2,0.19235814383820582
CLT,E vs. B,stint_2,13,2,0.11615689114773886
CLT,E vs. B,stint_2,14,3,0.21271025232560703
CLT,E vs. B,stint_2,15,8,0.8531021688353917
CLT,E vs. B,stint_2,16,3,0.6542286642535089
CLT,E vs. B,stint_2,17,1,0.14912230975727425
CLT,E vs. B,stint_3,0,6,0.06738097823500766
CLT,E vs. B,stint_3,1,4,0.3616507653945158
CLT,E vs. B,stint_3,2,5,0.10345541104773481
CLT,E vs. B,stint_3,3,3,0.27516470710247276
CLT,E vs. B,stint_3,4,3,0.6794053989534206
CLT,E vs. B,stint_3,5,8,0.677614099904666
CLT,E vs. B,stint_3,6,3,0.43855170762910944
CLT,E vs. B,stint_3,7,1,0.18414530233843607
CLT,E vs. B,stint_3,8,1,-0.01148619036617049
CLT,E vs. B,stint_3,9,0,-0.007649117432556807
CLT,E vs. B,stint_3,10,4,0.11279607780782896
CLT,E vs. B,stint_3,11,3,-0.05601063883320023
CLT,E vs. B,stint_3,12,3,0.08732729602300537
CLT,E vs. B,stint_3,13,1,0.06697107106678857
CLT,E vs. B,stint_3,14,3,0.025580109783632565
CLT,E vs. B,stint_3,15,7,0.08542897475898314
CLT,E vs. B,stint_3,16,6,0.4135715732062124
CLT,E vs. B,stint_3,17,2,0.0973320200529173
CLT,E vs. B,stint_4,0,6,0.08961322295863461
CLT,E vs. B,stint_4,1,4,0.295520985690076
CLT,E vs. B,stint_4,2,5,0.14536751510214962
CLT,E vs. B,stint_4,3,0,0.2710374026225839
CLT,E vs. B,stint_4,4,1,0.10777188037794261
CLT,E vs. B,stint_4,5,5,0.1867581013179027
CLT,E vs. B,stint_4,6,5,0.11104911535042561
CLT,E vs. B,stint_4,7,2,0.16151894676556822
CLT,E vs. B,stint_4,8,1,-0.025012302349253446
CLT,E vs. B,stint_4,9,1,0.005882241428601276
CLT,E vs. B,stint_4,10,5,0.08325739255775488
CLT,E vs. B,stint_4,11,3,0.04985590100392301
CLT,E vs. B,stint_4,12,1,0.11212128836362467
CLT,E vs. B,stint_4,13,2,0.07164195405201212
CLT,E vs. B,stint_4,14,3,0.038791446429797816
CLT,E vs. B,stint_4,15,7,-0.2903347482024259
CLT,E vs. B,stint_4,16,6,3.063566089711699
CLT,E vs. B,stint_4,17,3,0.6111735151417577
CLT,E vs. B,stint_5,0,5,0.1669493566720881
CLT,E vs. B,stint_5,1,6,0.2945474651251585
CLT,E vs. B,stint_5,2,5,0.045946911152164205
CLT,E vs. B,stint_5,3,3,0.3939344190043528
CLT,E vs. B,stint_5,4,0,0.2079237735488597
CLT,E vs. B,stint_5,5,8,0.2053695343559312
CLT,E vs. B,stint_5,6,4,0.441120445644529
CLT,E vs. B,stint_5,7,1,0.229506085265335
CLT,E vs. B,stint_5,8,1,0.009536060547034708
CLT,E vs. B,stint_5,9,1,0.0026331678943378733
CLT,E vs. B,stint_5,10,4,0.008426712430676275
CLT,E vs. B,stint_5,11,6,0.23274803681530898
CLT,E vs. B,stint_5,12,2,0.1552186444787651
CLT,E vs. B,stint_5,13,2,0.11676128209138881
CLT,E vs. B,stint_5,14,3,0.058688946495919936
CLT,E vs. B,stint_5,15,7,0.05626879875923407
CLT,E vs. B,stint_5,16,6,0.5655936108133943
CLT,E vs. B,stint_5,17,2,0.11488121988959676
CLT,F vs. B,stint_1,0,5,0.1373561065963642
CLT,F vs. B,stint_1,1,4,0.578394934146603
CLT,F vs. B,stint_1,2,5,0.19640041304973366
CLT,F vs. B,stint_1,3,2,0.3704063227715899
CLT,F vs. B,stint_1,4,0,0.2956976420946127
CLT,F vs. B,stint_1,5,4,0.43182237864842676
CLT,F vs. B,stint_1,6,6,0.6126001656615614
CLT,F vs. B,stint_1,7,2,0.253320563258427
CLT,F vs. B,stint_1,8,1,0.038519916477454785
CLT,F vs. B,stint_1,9,0,0.021753163491005978
CLT,F vs. B,stint_1,10,3,0.13393892632709026
CLT,F vs. B,stint_1,11,1,0.1607972457957061
CLT,F vs. B,stint_1,12,2,0.2124802622312103
CLT,F vs. B,stint_1,13,2,0.20320987607523477
CLT,F vs. B,stint_1,14,2,0.12918607266306026
CLT,F vs. B,stint_1,15,6,0.09126259438177442
CLT,F vs. B,stint_1,16,3,0.5087063475617413
CLT,F vs. B,stint_1,17,3,0.1349358722422096
CLT,F vs. B,stint_2,0,2,0.04130374629146072
CLT,F vs. B,stint_2,1,4,0.26483204145356165
CLT,F vs. B,stint_2,2,3,0.039774655493282296
CLT,F vs. B,stint_2,3,5,0.5757140199031827
CLT,F vs. B,stint_2,4,2,0.8262258669069205
CLT,F vs. B,stint_2,5,1,0.04153282311094131
CLT,F vs. B,stint_2,6,2,0.4000606676817924
CLT,F vs. B,stint_2,7,1,0.30112447944510734
CLT,F vs. B,stint_2,8,1,0.04128531651693379
CLT,F vs. B,stint_2,9,0,0.00016574722418738475
CLT,F vs. B,stint_2,10,3,0.06782637590991669
CLT,F vs. B,stint_2,11,4,0.32155863034972754
CLT,F vs. B,stint_2,12,1,0.05946996612046007
CLT,F vs. B,stint_2,13,1,0.06352016615255707
CLT,F vs. B,stint_2,14,4,0.11559291598325672
CLT,F vs. B,stint_2,15,2,0.20464580228018292
CLT,F vs. B,stint_2,16,1,-0.07264475430628181
CLT,F vs. B,stint_2,17,0,-0.004081984375517322
CLT,F vs. B,stint_3,0,3,0.22366294475189985
CLT,F vs. B,stint_3,1,5,0.3111495076320647
CLT,F vs. B,stint_3,2,4,0.11665754947091678
CLT,F vs. B,stint_3,3,5,0.3512028564399241
CLT,F vs. B,stint_3,4,3,0.33347325407532225
CLT,F vs. B,stint_3,5,5,0.18213855894658337
CLT,F vs. B,stint_3,6,5,0.9109657887311826
CLT,F vs. B,stint_3,7,4,0.3085172240466747
CLT,F vs. B,stint_3,8,1,0.03658224774320473
CLT,F vs. B,stint_3,9,2,0.022046829210331964
CLT,F vs. B,stint_3,10,4,0.13960459189739538
CLT,F vs. B,stint_3,11,5,0.5841620544344579
CLT,F vs. B,stint_3,12,2,0.11913939182198874
CLT,F vs. B,stint_3,13,2,0.13564398923831789
CLT,F vs. B,stint_3,14,3,0.0776040934181168
CLT,F vs. B,stint_3,15,1,-0.11695630840377191
CLT,F vs. B,stint_3,16,2,0.14418673173980778
CLT,F vs. B,stint_3,17,1,0.06121323673671952
CLT,F vs. B,stint_4,0,2,0.15965946454929547
CLT,F vs. B,stint_4,1,4,0.4337486782671798
CLT,F vs. B,stint_4,2,3,0.14580534584626292
CLT,F vs. B,stint_4,3,3,0.2908324099626647
CLT,F vs. B,stint_4,4,4,0.42825659062908983
CLT,F vs. B,stint_4,5,1,0.13149334438163507
CLT,F vs. B,stint_4,6,1,0.37588486614299654
CLT,F vs. B,stint_4,7,1,0.16670933149922007
CLT,F vs. B,stint_4,8,1,-0.002230677921183144
CLT,F vs. B,stint_4,9,1,-0.00042105079202769957
CLT,F vs. B,stint_4,10,3,0.20672453205618524
CLT,F vs. B,stint_4,11,4,-0.008032167257951528
CLT,F vs. B,stint_4,12,4,0.1243688239304106
CLT,F vs. B,stint_4,13,2,0.13088814766130952
CLT,F vs. B,stint_4,14,3,0.07221853820036017
CLT,F vs. B,stint_4,15,0,0.0018467824707499858
CLT,F vs. B,stint_4,16,1,0.4384156116860112
CLT,F vs. B,stint_4,17,3,0.29752079819689925
CLT,F vs. B,stint_5,0,2,0.06540647904530861
CLT,F vs. B,stint_5,1,4,0.29001425935112746
CLT,F vs. B,stint_5,2,4,0.12728240224070753
CLT,F vs. B,stint_5,3,3,0.3232735288818418
