Track,Comparison,Stint,Rule_ID,Category,Fired
CLT,F vs. B,stint_4,LATE_ROTATION,Rotation,9
CLT,F vs. B,stint_4,LATE_THROTTLE_LOW_SPEED,Traction,3
CLT,F vs. B,stint_4,LOW_BRAKE_EFFICIENCY,Braking,4
CLT,F vs. B,stint_4,OVER_BRAKING_PEAK,Braking,5
CLT,F vs. B,stint_4,POOR_TRAIL_BRAKING,Rotation,0
CLT,F vs. B,stint_4,ROTATION_INEFFICIENT,Rotation,3
CLT,F vs. B,stint_4,STEER_EFFICIENCY,Rotation,1
CLT,F vs. B,stint_4,THROTTLE_STEER_CONFLICT,Traction,2
CLT,F vs. B,stint_5,AGGRESSIVE_UNSTABLE_BRAKE,Braking,0
CLT,F vs. B,stint_5,BRAKING_POINT_MISMATCH,Braking,3
CLT,F vs. B,stint_5,ENTRY_OVER_SLOW,Braking,8
CLT,F vs. B,stint_5,EXIT_SPEED_LEGACY,Legacy,4
CLT,F vs. B,stint_5,LATE_ROTATION,Rotation,10
CLT,F vs. B,stint_5,LATE_THROTTLE_LOW_SPEED,Traction,5
CLT,F vs. B,stint_5,LOW_BRAKE_EFFICIENCY,Braking,3
CLT,F vs. B,stint_5,OVER_BRAKING_PEAK,Braking,5
CLT,F vs. B,stint_5,POOR_TRAIL_BRAKING,Rotation,1
CLT,F vs. B,stint_5,ROTATION_INEFFICIENT,Rotation,4
CLT,F vs. B,stint_5,STEER_EFFICIENCY,Rotation,2
CLT,F vs. B,stint_5,THROTTLE_STEER_CONFLICT,Traction,4
SPT,B vs. A,stint_1,AGGRESSIVE_UNSTABLE_BRAKE,Braking,2
SPT,B vs. A,stint_1,BRAKING_POINT_MISMATCH,Braking,2
SPT,B vs. A,stint_1,ENTRY_OVER_SLOW,Braking,4
SPT,B vs. A,stint_1,EXIT_SPEED_LEGACY,Legacy,1
SPT,B vs. A,stint_1,LATE_ROTATION,Rotation,7
SPT,B vs. A,stint_1,LATE_THROTTLE_LOW_SPEED,Traction,3
SPT,B vs. A,stint_1,LOW_BRAKE_EFFICIENCY,Braking,1
SPT,B vs. A,stint_1,OVER_BRAKING_PEAK,Braking,3
SPT,B vs. A,stint_1,POOR_TRAIL_BRAKING,Rotation,1
SPT,B vs. A,stint_1,ROTATION_INEFFICIENT,Rotation,3
SPT,B vs. A,stint_1,STEER_EFFICIENCY,Rotation,6
SPT,B vs. A,stint_1,THROTTLE_STEER_CONFLICT,Traction,4
SPT,B vs. A,stint_2,AGGRESSIVE_UNSTABLE_BRAKE,Braking,1
SPT,B vs. A,stint_2,BRAKING_POINT_MISMATCH,Braking,2
SPT,B vs. A,stint_2,ENTRY_OVER_SLOW,Braking,2
SPT,B vs. A,stint_2,EXIT_SPEED_LEGACY,Legacy,2
SPT,B vs. A,stint_2,LATE_ROTATION,Rotation,7
SPT,B vs. A,stint_2,LATE_THROTTLE_LOW_SPEED,Traction,1
SPT,B vs. A,stint_2,LOW_BRAKE_EFFICIENCY,Braking,1
SPT,B vs. A,stint_2,OVER_BRAKING_PEAK,Braking,2
SPT,B vs. A,stint_2,POOR_TRAIL_BRAKING,Rotation,3
SPT,B vs. A,stint_2,ROTATION_INEFFICIENT,Rotation,1
SPT,B vs. A,stint_2,STEER_EFFICIENCY,Rotation,5
