Lat,Lon,peed_kmh,Gear,RPM,Throttle,Brake,Lap,FuelLevel_l,AirTemp_C
,,140.9887710571289,3,6257.5361328125,1.0,0.0,3,23.688323974609375,24.896841049194336
,,141.68751525878906,3,6282.6611328125,1.0,0.0,3,23.6872615814209,24.896881103515625
,,142.2849105834961,3,6351.37744140625,1.0,0.0,3,23.686195373535156,24.896921157836914
,,142.96308288574218,3,6344.4990234375,1.0,0.0,3,23.68512725830078,24.89695930480957
,,143.67216796875002,3,6411.73681640625,1.0,0.0,3,23.683881759643555,24.89700698852539
,,144.31554107666017,3,6431.93017578125,1.0,0.0,3,23.682809829711914,24.897045135498047
,,144.95953216552735,3,6461.55322265625,1.0,0.0,3,23.681737899780273,24.897085189819336
,,145.61236724853515,3,6482.02880859375,1.0,0.0,3,23.680662155151367,24.897125244140625
,,146.23172149658203,3,6502.853515625,1.0,0.0,3,23.679582595825195,24.89716339111328
,,146.8216049194336,3,6532.44384765625,1.0,0.0,3,23.678503036499023,24.89720344543457
,,147.41060943603517,3,6568.3173828125,1.0,0.0,3,23.67741584777832,24.89724349975586
,,148.00372009277345,3,6610.96240234375,1.0,0.0,3,23.67633056640625,24.89728355407715
,,148.61782836914062,3,6624.96875,1.0,0.0,3,23.67523956298828,24.897321701049805
,,149.20843963623048,3,6649.28759765625,1.0,0.0,3,23.674150466918945,24.897361755371094
,,149.8034866333008,3,6677.38330078125,1.0,0.0,3,23.673063278198242,24.897401809692383
,,150.41016540527343,3,6679.177734375,1.0,0.0,3,23.671974182128906,24.89743995666504
,,150.9357925415039,3,6719.58056640625,1.0,0.0,3,23.67088508605957,24.897480010986328
,,151.48910522460938,3,6755.49951171875,1.0,0.0,3,23.6697940826416,24.897520065307617
,,152.01454010009766,3,6789.02392578125,1.0,0.0,3,23.6687068939209,24.897560119628906
,,152.58135223388672,3,6802.96875,1.0,0.0,3,23.667617797851562,24.897598266601562
,,153.11920166015625,3,6831.2470703125,1.0,0.0,3,23.666528701782227,24.89763832092285
,,153.6612533569336,3,6849.51318359375,1.0,0.0,3,23.665441513061523,24.89767837524414
,,154.22687072753908,3,6869.41943359375,1.0,0.0,3,23.664352416992188,24.897716522216797
,,154.72040405273438,3,6901.96337890625,1.0,0.0,3,23.66326141357422,24.897756576538086
,,155.2367889404297,3,6960.74853515625,1.0,0.0,3,23.662172317504883,24.897796630859375
